dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;xD;yD;zD;prF;depPrF;concessionPrF;absF;cumulF;xF;yF;zF;anneeMesureTrafic;typeComptageTrafic;TMJA;RatioPL;lngD;latD;zzD;lngF;latF;zzF
2017-01-01;A0004;271.0;15;93;C;329.0;15410.0;669403.0;6859476.1;0;15;93;C;600.0;15681.0;669668.52;6859438.86;0;2017;Permanent horaire;168130;5.0;2.5831719277664935;48.83461186527226;0.0;2.5867917398187235;48.83428950675288;0.0
2017-01-01;A0004;2435.0;15;93;C;600.0;15681.0;669668.52;6859438.86;0;18;77;C;35.0;18116.0;672042.48;6858927.22;0;2017;Permanent horaire;168130;5.0;2.5867917398187235;48.83428950675288;0.0;2.619165486817187;48.829795524810066;0.0
2017-01-01;A0004;700.1;18;77;C;35.0;18116.0;672042.48;6858927.22;0;18;77;C;735.1;18816.1;672734.35;6858963.23;0;2017;Permanent horaire;171296;7.5;2.619165486817187;48.829795524810066;0.0;2.628587622051378;48.83014901291793;0.0
2017-01-01;A0004;564.9;18;77;C;735.1;18816.1;672734.35;6858963.23;0;19;77;C;300.0;19381.0;673291.03;6859029.0;0;2017;Permanent horaire;171296;7.5;2.628587622051378;48.83014901291793;0.0;2.6361664742381454;48.830763812040026;0.0
2017-01-01;A0004;700.0;19;77;C;300.0;19381.0;673291.03;6859029.0;0;20;77;C;0.0;20081.0;673981.97;6859111.11;0;2017;Permanent horaire;171296;7.5;2.6361664742381454;48.830763812040026;0.0;2.6455734121879257;48.8315305151005;0.0
2017-01-01;A0004;1406.0;20;77;C;0.0;20081.0;673981.97;6859111.11;0;21;77;C;406.0;21487.0;675391.58;6859186.65;0;2017;Permanent horaire;177266;14.6;2.6455734121879257;48.8315305151005;0.0;2.66477100031748;48.83226523162469;0.0
2017-01-01;A0004;3074.0;21;77;C;406.0;21487.0;675391.58;6859186.65;0;24;77;C;480.0;24561.0;678452.24;6858902.06;0;2017;Permanent horaire;124209;4.4;2.66477100031748;48.83226523162469;0.0;2.7064789400713765;48.82981540455347;0.0
2017-01-01;A0004;6582.0;24;77;C;480.0;24561.0;678452.24;6858902.06;0;31;77;C;62.0;31143.0;685000.15;6859283.64;0;2017;Permanent horaire;107644;3.9;2.7064789400713765;48.82981540455347;0.0;2.7956598661529837;48.83343273892821;0.0
2017-01-01;A0004;2938.0;31;77;C;62.0;31143.0;685000.15;6859283.64;0;34;77;C;0.0;34081.0;687531.86;6860650.79;0;2017;Permanent horaire;67188;4.7;2.7956598661529837;48.83343273892821;0.0;2.8301086866116685;48.84578191208785;0.0
2017-01-01;A0004;1948.0;34;77;C;0.0;34081.0;687531.86;6860650.79;0;35;77;C;948.0;36029.0;688592.33;6862280.8;0;2017;Permanent horaire;36387;7.6;2.8301086866116685;48.84578191208785;0.0;2.8445149141776773;48.86046059694519;0.0
2017-01-01;A0004;2483.0;35;77;C;948.0;36029.0;688592.33;6862280.8;0;38;77;C;431.0;38512.0;690497.45;6863811.33;0;2017;Permanent horaire;59954;8.1;2.8445149141776773;48.86046059694519;0.0;2.8704471790607524;48.87425574048406;0.0
2017-01-01;A0004;13424.0;40;77;C;750.0;40831.0;692371.39;6865136.19;0;54;77;C;174.0;54255.0;703123.88;6872380.35;0;2017;Permanent horaire;29274;9.6;2.8959716723262505;48.88619514167651;0.0;3.042652492854777;48.95137729691014;0.0
2017-01-01;A0004;10605.0;54;77;C;174.0;54255.0;703123.88;6872380.35;0;64;77;C;779.0;64860.0;710998.76;6879163.55;0;2017;Permanent horaire;22755;10.8;3.042652492854777;48.95137729691014;0.0;3.1503498522836133;49.01228642573083;0.0
2017-01-01;A0004;2996.0;64;77;C;779.0;64860.0;710998.76;6879163.55;0;67;77;C;775.0;67856.0;712935.31;6881400.97;0;2017;Permanent horaire;20866;11.4;3.1503498522836133;49.01228642573083;0.0;3.176890361609111;49.0323687955471;0.0
2017-01-01;A0004;17935.0;67;77;C;775.0;67856.0;712935.31;6881400.97;0;85;2;C;710.0;85791.0;729329.88;6886806.08;0;2017;Permanent horaire;20866;11.4;3.176890361609111;49.0323687955471;0.0;3.401459114978682;49.08042889742119;0.0
2017-01-01;A0004;14835.0;85;2;C;710.0;85791.0;729329.88;6886806.08;0;100;2;C;545.0;100626.0;742808.3;6892226.73;0;2017;Permanent horaire;20654;10.8;3.401459114978682;49.08042889742119;0.0;3.5864932928096036;49.128407544265784;0.0
2017-01-01;A0004;8555.0;100;2;C;545.0;100626.0;742808.3;6892226.73;0;109;51;C;100.0;109181.0;750798.74;6894780.16;0;2017;Permanent horaire;20654;10.8;3.5864932928096036;49.128407544265784;0.0;3.6962692140575397;49.15078065210687;0.0
